['2', ' 0', ' 3', ' 0', ' 101']
['4', ' 14880', ' 1', ' 2', ' 64', ' 0']
['4', ' 14880', ' 1', ' 2', ' 67', ' 100']
['4', ' 15360', ' 1', ' 2', ' 67', ' 0']
['4', ' 15360', ' 1', ' 2', ' 62', ' 100']
['4', ' 15840', ' 1', ' 2', ' 62', ' 0']
['4', ' 15840', ' 1', ' 2', ' 67', ' 100']
['4', ' 16320', ' 1', ' 2', ' 67', ' 0']
['4', ' 16320', ' 1', ' 2', ' 65', ' 100']
['4', ' 16800', ' 1', ' 2', ' 65', ' 0']
['4', ' 16800', ' 1', ' 2', ' 64', ' 100']
['4', ' 17280', ' 1', ' 2', ' 64', ' 0']
['4', ' 17280', ' 1', ' 2', ' 64', ' 100']
['4', ' 17520', ' 1', ' 2', ' 64', ' 0']
['4', ' 17520', ' 1', ' 2', ' 65', ' 100']
['4', ' 17760', ' 1', ' 2', ' 65', ' 0']
['4', ' 17760', ' 1', ' 2', ' 67', ' 100']
['4', ' 18240', ' 1', ' 2', ' 67', ' 0']
['4', ' 18240', ' 1', ' 2', ' 70', ' 100']
['4', ' 19440', ' 1', ' 2', ' 70', ' 0']
['4', ' 19440', ' 1', ' 2', ' 70', ' 100']
['4', ' 19680', ' 1', ' 2', ' 70', ' 0']
['4', ' 19680', ' 1', ' 2', ' 69', ' 100']
['4', ' 20160', ' 1', ' 2', ' 69', ' 0']
['4', ' 20160', ' 1', ' 2', ' 64', ' 100']
['4', ' 20640', ' 1', ' 2', ' 64', ' 0']
['4', ' 20640', ' 1', ' 2', ' 67', ' 100']
['4', ' 21120', ' 1', ' 2', ' 67', ' 0']
['4', ' 21120', ' 1', ' 2', ' 62', ' 100']
['4', ' 21600', ' 1', ' 2', ' 62', ' 0']
['4', ' 21600', ' 1', ' 2', ' 67', ' 100']
['4', ' 22080', ' 1', ' 2', ' 67', ' 0']
['4', ' 22080', ' 1', ' 2', ' 65', ' 100']
['4', ' 22560', ' 1', ' 2', ' 65', ' 0']
